Modelo,Precio,storage,color,foto_url,descripcion,stock,bateria
iPhone 14 Pro,800.000ars,128gb,Negro,/iphone14pro.jpeg,iPhone 14 Pro en excelente estado con batería al 100%,si,100%
iPhone 14,600.000ars,128gb,Blanco,/iphone14.jpeg,iPhone 14 en excelente estado con batería al 100%,si,100%
iPhone 13 Pro Max,750.000ars,128gb,Verde Oscuro,/iphone13promaxverde.jpeg,iPhone 13 Pro Max en excelente estado con batería al 92%,si,92%
iPhone 13,570.000ars,128gb,Rosa,/iphone13blanco.jpeg,iPhone 13 en excelente estado con batería al 100%,si,100%
iPhone 13,480.000ars,128gb,Negro,/iphone13negro.jpeg,iPhone 13 en excelente estado con batería al 85%,si,85%
iPhone 16,950.000ars,128gb,Blanco,/iphone16.jpeg,iPhone 16 en excelente estado,si,88%
iPhone 13 Pro Max,780.000ars,256gb,Celeste,/iphone13promaxceleste.jpeg,iPhone 13 Pro Max en excelente estado con batería al 100%,si,100%
iPhone 13 Pro,670.000ars,128gb,,/iphone13pro.jpeg,iPhone 13 Pro en excelente estado con batería al 100%,si,100%
iPhone 13 Pro Max,660.000ars,128gb,Negro,/iphone13promaxnegro.jpeg,iPhone 13 Pro Max en excelente estado. Detalle cámara (0.5),si,100%
iPhone 16,1.000.000ars,128gb,Azul,/iphone16azul.jpeg,iPhone 16 en excelente estado con batería al 100%,si,100%
iPhone 15 Pro,980.000ars,128gb,,/iphone15pronegro.jpeg,iPhone 15 Pro en buen estado,si,90%
iPhone 16,760 USD,128gb,Sellado,/iphone16sellado.jpeg,iPhone 16 nuevo sellado de fábrica,si,
iPhone 16 Pro Max,1.400.000ars,256gb,,/iphone16promax.jpeg,iPhone 16 Pro Max en buen estado,si,95%
iPhone 17,1000 USD,256gb,Sellado,/iphone17.jpeg,iPhone 17 nuevo sellado de fábrica,si,
iPhone 17 Pro,Consultar precio,256gb,Sellado,/iphone17pro.jpeg,iPhone 17 Pro nuevo sellado de fábrica,si,
iPhone 17 Pro Max,1380 USD,256gb,Sellado,/iphone17promax.jpeg,iPhone 17 Pro Max nuevo sellado de fábrica,si,
iPhone 11,350.000ars,128gb,Blanco,/iphone11blanco.jpeg,iPhone 11 en excelente estado con batería al 100%,si,100%
